Price,Close,Close,Close,Close,High,High,High,High,Low,Low,Low,Low,Open,Open,Open,Open,Volume,Volume,Volume,Volume
Ticker,HDFCBANK.NS,INFY.NS,RELIANCE.NS,TCS.NS,HDFCBANK.NS,INFY.NS,RELIANCE.NS,TCS.NS,HDFCBANK.NS,INFY.NS,RELIANCE.NS,TCS.NS,HDFCBANK.NS,INFY.NS,RELIANCE.NS,TCS.NS,HDFCBANK.NS,INFY.NS,RELIANCE.NS,TCS.NS
Date,,,,,,,,,,,,,,,,,,,,
2020-01-01,1227.4285888671875,661.2052001953125,680.3225708007812,2005.931640625,1228.7725823160727,664.0318441422897,688.2092091555816,2021.0157393911963,1219.748760227712,657.3466477305093,678.4749004856463,1993.3458937274243,1225.0286424173514,659.5451424926797,684.1081620244504,2006.3017166207317,1836849,2112415,14004468,1354908
2020-01-02,1235.25244140625,659.2759399414062,691.9047241210938,1996.7236328125,1236.4524146347387,664.7496939515061,694.4509943949312,2017.3604536700552,1227.81260738962,655.8660577005586,681.4042472607288,1988.9039132265434,1227.81260738962,663.0447802157353,681.4042472607288,2017.3604536700552,3068583,5658200,17710316,2380752
2020-01-03,1217.6368408203125,669.4158935546875,692.7383422851562,2036.5159912109375,1233.5724616348048,671.2105742344588,694.7663331020075,2057.199122695688,1213.0288968134041,658.5580973497944,686.3614164349927,2002.599595822523,1230.8844747666276,658.5580973497944,690.8680493242051,2002.599595822523,5427775,7882938,20984698,4655761
2020-01-06,1191.285400390625,662.9998168945312,676.6722412109375,2036.3314208984375,1211.3010480089304,676.415064486537,688.5697363773949,2059.929526915462,1186.5335531802418,660.8910892303696,675.0949014923974,2024.717405888048,1209.573039649761,669.5055336588492,685.0095309369975,2040.5421085309367,5445093,6519403,24519177,3023209
2020-01-07,1210.14892578125,653.174072265625,687.0826416015625,2041.328857421875,1220.5646695178561,666.3649317889069,691.5442101638635,2049.472337011606,1202.1331283980037,650.6614754332767,682.0802312687799,2020.9233906006082,1208.5170091349173,662.2371880260079,684.5588737848285,2036.3777917319026,7362247,7899363,16683622,2429317
2020-01-08,1206.98095703125,644.4697875976562,681.9224853515625,2087.04443359375,1211.6368290959565,654.1610514805444,691.5215988042919,2091.4401595928944,1190.4213287005307,635.5860970895819,680.502903659059,2037.8123475896614,1197.0450862849225,650.5268343706243,682.7562203482998,2040.5422796028017,5666055,8639443,16047902,5197454
2020-01-09,1220.5167236328125,652.8599243164062,697.6281127929688,2049.19482421875,1224.7406525919384,656.4044294552959,698.5294153737125,2083.9903271056482,1212.5488549784413,640.9701653413103,690.0794930945251,2045.1691746110077,1214.3728376181639,647.6105054690861,693.3918703293505,2081.029041360409,4773158,13521186,14982742,3734173
2020-01-10,1231.364501953125,662.3717651367188,697.4703369140625,2048.454345703125,1235.3964823794965,666.6341315667637,702.1121654202612,2067.3790550719605,1224.0686880383555,655.5070899258714,693.8650063492018,2043.3182424345966,1232.7084954285822,664.4356368753005,699.3856349326736,2061.8265598479534,4607290,9341405,12478359,1915807
2020-01-13,1234.5325927734375,694.1375122070312,695.6903076171875,2026.9854736328125,1244.612368997482,697.6820170093633,702.4502580136249,2053.452241519019,1224.9328058933952,677.491862176295,693.3017954204703,2021.7567365190605,1231.3646162290643,681.9785632503101,696.298716991292,2052.434419253217,3725784,36952038,18282382,2843893
2020-01-14,1237.892333984375,696.0220947265625,689.2457275390625,2042.2999267578125,1240.8203154210667,697.1886262785529,698.5293843770133,2063.492082975733,1226.3725914424497,688.4395574846592,685.8432201971465,2031.2875697137729,1237.4123447117947,690.9072435547317,694.0227513391503,2031.2875697137729,3943145,11414418,15816535,2948452
2020-01-15,1232.8524169921875,688.7535400390625,686.7445678710938,2060.80908203125,1236.4042906499637,694.4067730057999,693.9777318206782,2064.603378523123,1223.1086115560133,683.9079352544186,684.2208604240782,2030.5480198766134,1234.9163942516534,694.4067730057999,692.1525639721809,2047.9458882436893,5893724,6047430,15817859,2620681
2020-01-16,1236.1163330078125,688.260009765625,693.076416015625,2071.821533203125,1239.332237530347,693.1953814132273,695.5325560175982,2081.2607318875152,1228.148464622242,682.2029627435677,688.6148475092725,2049.7965856517767,1230.7404768706822,691.580179827873,689.0655590068665,2060.8552624512417,3575200,5740586,12847975,3117214
2020-01-17,1226.9967041015625,689.022705078125,712.5000610351562,2053.590576171875,1233.4765598262318,693.5543172614504,714.2801638018265,2085.4711097047534,1220.9968376898319,683.9976214689867,699.9715935539758,2047.945448638496,1230.4526037177413,691.5801577116804,700.1067889476318,2073.625740640176,8459407,3762957,29463471,3281059
2020-01-20,1204.6771240234375,689.5611572265625,690.5752563476562,2008.4764404296875,1252.6280064460766,694.9003429091925,725.1186728538527,2074.9674356798528,1202.3731520316696,684.6257856285407,687.8937907374989,1995.3816702019778,1252.6280064460766,692.3877462802103,725.1186728538527,2031.1952194806993,11089225,3887680,32545850,5817599
2020-01-21,1194.54931640625,684.2220458984375,691.2737426757812,2009.12451171875,1199.9732187921677,691.4007690029457,696.6591759633492,2023.4684601452036,1188.8374907587531,682.6517002193264,685.9108118689921,1997.094103361079,1199.9732187921677,689.5612321612776,688.8852306919376,2008.1064637158265,7492402,4448374,18922720,1902980
2020-01-22,1191.189453125,691.1314697265625,691.0258178710938,2042.2999267578125,1204.7731741026575,698.130712704703,697.0647252880656,2045.1688059532746,1184.997637869106,687.3626297323939,690.0118224472255,2011.5761690673642,1198.101369534372,689.5611242931008,695.8254042330108,2018.331749223571,9184155,9733935,10322817,1773686
2020-01-23,1195.029296875,703.8287353515625,688.0966186523438,2032.1441650390625,1196.949254010899,704.8606984473329,694.9016341464945,2057.0016761929373,1181.7336171458758,696.9641159621897,685.3250227589197,2025.4196640121665,1190.3734242574214,697.3230191660207,692.4454941798961,2049.627958286862,5754460,12528017,11247739,2069866
2020-01-24,1194.7413330078125,702.39306640625,685.7080688476562,2025.14111328125,1203.813083292645,705.7580922753314,692.3778885786676,2032.1439139467186,1189.5093796793847,694.182381377971,684.3560547826564,2012.7124724623363,1196.1332550100763,696.1116847839647,688.1641485124401,2032.1439139467186,5915878,7540490,14628445,1319430
2020-01-27,1164.6458740234375,698.220458984375,678.9480590820312,2012.01708984375,1185.5734522817952,704.2326498919399,687.0149580126348,2034.4629652989518,1163.2539520667735,694.9003437209078,678.2495194841621,2008.075140952734,1185.5734522817952,699.0729432152536,682.7111478511207,2030.9847751009968,9444276,3741610,13387750,1549101
2020-01-28,1174.245849609375,698.1307373046875,663.2649536132812,2025.4656982421875,1178.6618451916788,701.540619412212,680.5028767462447,2029.2221882147453,1164.6941088198198,692.7466956288158,659.5920553767943,1996.0170269569262,1170.0220372548329,700.8227581426232,679.8719047779257,2016.4224054852962,6706079,5121009,24532236,1743024
2020-01-29,1186.3896484375,708.629638671875,666.9154052734375,1998.42919921875,1192.2935408569842,711.4113716659206,673.4725324609623,2028.4342530226547,1173.3339616042263,703.7391231326484,659.7948736798274,1994.1625283476646,1176.2619435020297,705.8478509085245,664.3015072578494,2026.6256392742544,6894175,6832757,24746565,2306761
2020-01-30,1176.9818115234375,700.5535278320312,650.6463623046875,1982.89306640625,1189.3654417378275,708.6295898941595,666.847727453784,2008.0750719968428,1168.485907150228,698.1306982595326,648.9563898815043,1970.9743778260004,1189.3654417378275,708.6295898941595,666.5322715503822,2003.4374852254873,6055992,3859680,22402689,2098567
